COMMAND     PID       USER   FD   TYPE             DEVICE SIZE/OFF NODE 
corespeec   585 gregwilson    3u  IPv6 0x5f5fb0f69522963b      0t0  TCP 
jetbrains  1609 gregwilson   59u  IPv6 0x5f5fb0f69523863b      0t0  TCP 
PowerChim 46752 gregwilson    3u  IPv6 0x5f5fb0f69524ae3b      0t0  TCP 
PowerChim 46752 gregwilson    6u  IPv6 0x5f5fb0f695228e3b      0t0  TCP 
Google    53670 gregwilson   22u  IPv6 0x5f5fb0f695246e3b      0t0  TCP 
Google    53670 gregwilson   24u  IPv6 0x5f5fb0f69523d63b      0t0  TCP 
Google    53670 gregwilson   29u  IPv4 0x5f5fb0fb588afdd3      0t0  TCP 
Google    53670 gregwilson   33u  IPv6 0x5f5fb0f69524663b      0t0  TCP 
Google    53670 gregwilson   34u  IPv6 0x5f5fb0f69523de3b      0t0  TCP 
